AÑO,MES,CONCESION,ENTIDAD PRESTADORA,TIPO DE VEHICULO,UNIDAD DE MEDIDA,TOTAL,,,,,,
2019,7,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,"676,288",,,,,,
2019,7,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,"338,144",,,,,,
2019,7,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,"1,743,035",,,,,,
2019,7,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,"431,136",,,,,,
2019,8,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,"664,266",,,,,,
2019,8,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,"332,133",,,,,,
2019,8,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,"1,779,491",,,,,,
2019,8,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,"446,253",,,,,,
2019,9,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,"560,330",,,,,,
2019,9,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,"280,165",,,,,,
2019,9,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,"1,725,921",,,,,,
2019,9,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,"428,298",,,,,,
2019,10,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,"595,986",,,,,,
2019,10,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,"297,993",,,,,,
2019,10,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,"1,819,203",,,,,,
2019,10,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,"453,626",,,,,,
2019,11,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,"566,342",,,,,,
2019,11,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,"283,171",,,,,,
2019,11,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,"1,797,267",,,,,,
2019,11,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,"448,958",,,,,,
2019,12,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,"741,832",,,,,,
2019,12,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,"370,916",,,,,,
2019,12,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,"1,849,360",,,,,,
2019,12,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,"465,276",,,,,,
2020,1,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,396366,,,,,,
2020,1,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,442864,,,,,,
2020,1,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,792732,,,,,,
2020,1,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1779538,,,,,,
2020,2,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,395366,,,,,,
2020,2,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,435013,,,,,,
2020,2,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,790732,,,,,,
2020,2,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,1744549,,,,,,
2020,3,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,236802,,,,,,
2020,3,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,310874,,,,,,
2020,3,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,473604,,,,,,
